word,word_type,index,example_1,example_2,semantic_consistency
board,N,2-2,Room and board .,He nailed boards across the windows .,F
circulate,V,0-4,Circulate a rumor .,This letter is being circulated among the faculty .,F
hook,V,0-1,Hook a fish .,"He hooked a snake accidentally , and was so scared he dropped his rod into the water .",T
recreation,N,1-9,For recreation he wrote poetry and solved crossword puzzles .,Drug abuse is often regarded as a form of recreation .,T
domesticity,N,4-6,Making a hobby of domesticity .,A royal family living in unpretentious domesticity .,F
acquisition,N,3-7,The child 's acquisition of language .,That graphite tennis racquet is quite an acquisition .,F
meeting,N,3-1,There was no meeting of minds .,The meeting elected a chairperson .,F
nude,N,4-4,They swam in the nude .,The marketing rule ' nude sells ' spread from verbal to visual mainstream media in the 20th century .,F
mark,N,4-8,He left an indelible mark on the American theater .,It was in London that he made his mark .,T
association,N,7-2,Conditioning is a form of learning by association .,Many close associations with England .,F
inclination,N,2-1,The alkaline inclination of the local waters .,An inclination of his head indicated his agreement .,F
glaze,V,0-2,Glaze the bread with eggwhite .,The potter glazed the dishes .,T
piggyback,V,3-1,An amendment to piggyback the current law .,He piggybacked her child so she could see the show .,F
pick,V,1-3,To pick rags .,Do n't always pick on your little brother .,F
belabor,V,0-2,Belabor the obvious .,She was belabored by her fellow students .,F
bell,V,0-2,Bell cows .,Who will bell the cat ?,T
tear,N,12-3,He took the manuscript in both hands and gave it a mighty tear .,There were big tears rolling down Lisa 's cheeks .,F
kill,V,0-1,Kill the engine .,He killed the ball .,F
analyze,V,0-2,Analyze your real motives .,The inspector analyzed the building 's soundness .,T
lecture,V,3-1,Did you ever lecture at Harvard ?,She lectured to the class about her travels .,T
rehearsal,N,1-4,A rehearsal will be held the day before the wedding .,He missed too many rehearsals .,T
forge,V,3-1,We decided to forge ahead with our plans even though our biggest underwriter backed out .,He forged ahead .,T
falsity,N,9-7,The belief that the world is flat is a falsity .,Argument could not determine its truth or falsity .,T
assurance,N,1-1,An assurance of help when needed .,His assurance in his superiority did not make him popular .,F
branch,N,1-2,A branch of Congress .,We have branches in all major suburbs .,T
fuzz,N,9-1,He tried to clear his head of the whisky fuzz .,Peach fuzz .,F
risk,V,3-1,I can not risk smoking .,Why risk your life ?,T
chemistry,N,1-1,The chemistry of indigo .,The chemistry of iron .,T
char,N,10-11,"“ Among other native delicacies , they give you fresh char . ” .","“ I had to scrub the kitchen today , because the char could n't come ” .",F
response,N,4-1,This situation developed in response to events in Africa .,His responses have slowed with age .,F
excuse,N,5-4,That thing is a poor excuse for a gingerbread man . Has n't anyone taught you how to bake ?,He 's a sorry excuse of a doctor .,T
bondage,N,5-5,He sought release from his bondage to Satan .,A self freed from the bondage of time .,T
catch,N,1-3,The catch was only 10 fish .,He shared his catch with the others .,F
shadiness,N,4-1,There 's too much shadiness to take good photographs .,The shadiness of their transactions .,F
passage,N,2-6,The outward passage took 10 days .,She struggled to play the difficult passages .,F
daughter,N,13-1,"I already have a son , so I would like to have a daughter .",Her daughter cared for her in her old age .,T
hold,V,1-0,Please hold a table at Maxim 's .,Hold a table for us at 7:00 .,T
banish,V,0-0,Banish bad thoughts .,Banish gloom .,T
sense,N,3-2,A keen musical sense .,A good sense of timing .,T
opinion,N,2-6,"In my opinion , white chocolate is better than milk chocolate .",I would like to know your opinions on the new systems .,T
deed,N,3-3,He signed the deed .,I inherited the deed to the house .,T
question,N,8-3,His claim to the property has come under question .,He obeyed without question .,T
distribute,V,4-2,The publisher wants to distribute the book in Asia .,The function distributes the values evenly .,F
return,V,0-0,Return her love .,Return a compliment .,T
officer,N,3-4,He is an officer of the court .,The club elected its officers for the coming year .,T
clutch,V,1-1,To clutch power .,She clutched her purse .,T
dissipation,N,1-1,The dissipation of the mist .,Mindless dissipation of natural resources .,F
portfolio,N,9-3,He remembered her because she was carrying a large portfolio .,He holds the portfolio for foreign affairs .,F
play,N,3-5,They gave full play to the artist 's talent .,It was all done in play .,F
brush,N,6-4,She gave her hair a quick brush .,The dentist recommended two brushes a day .,T
rise,N,6-1,They asked for a 10 % rise in rates .,The rising of the Holy Ghost .,F
studio,N,1-5,His studio was cramped when he began as an artist .,You do n't need a studio to make a passport photograph .,T
cushion,V,1-0,To cushion a blow .,Cushion the blow .,T
plenty,N,2-4,There was plenty of food for everyone .,It must have cost plenty .,F
look,N,1-1,A look of triumph .,His look was fixed on her eyes .,F
recrudescence,N,1-1,A recrudescence of racism .,A recrudescence of the symptoms .,T
metadata,N,3-4,Most websites contain metadata to tell the computer how to lay the words out on the screen .,A library catalog is metadata because it describes publications .,T
streak,N,1-4,A streak of wildness .,He has a stubborn streak .,T
elapse,V,5-2,He allowed a month to elapse before beginning the work .,Several days elapsed before they met again .,T
corner,N,5-2,He tripled to the rightfield corner .,The southeastern corner of the Mediterranean .,T
average,N,3-6,He is about average in height .,The snowfall this month is below average .,T
replicate,V,11-0,"On entering a host cell , a virus will start to replicate .",Replicate the cell .,T
wait,V,3-0,She used to wait down at the Dew Drop Inn .,Wait here until your car arrives .,F
bottom,N,4-9,They started at the bottom of the hill .,They did much of their overseas trade in foreign bottoms .,F
straggle,N,1-1,A straggle of followers .,A straggle of outbuildings .,T
torture,N,7-13,In every war there are acts of torture that cause the world to shudder .,"Using large dogs to attack bound , hand - cuffed prisoners is clearly torture .",T
wash,V,5-2,This silly excuse wo n't wash in traffic court .,The cat washes several times a day .,F
seem,V,1-1,I seem to be misunderstood by everyone .,There seems no reason to go ahead with the project now .,F
jockey,N,4-2,He 's a truck jockey .,A disc jockey .,T
sugar,V,0-2,Sugar your tea .,John heavily sugars his coffee .,T
load,V,0-0,Load a car .,Load the truck with hay .,T
canon,N,2-0,The neoclassical canon .,Canons of polite society .,T
upstage,V,6-8,She only wore that dress to upstage everyone .,"When the dog entered the stage , he upstaged the actress .",T
ruin,V,3-3,This behavior will ruin your chances of winning the election .,The country lay ruined after the war .,F
modify,V,1-1,Please modify this letter to make it more polite .,He modified his views on same - gender marriage .,T
loose,V,1-0,Let loose mines .,Loose terrible plagues upon humanity .,T
breast,N,3-5,He beat his breast in anger .,The robin has a red breast .,T
invasion,N,1-1,An invasion of locusts .,An invasion of tourists .,T
stay,V,5-0,Wear gloves so your hands stay warm .,"Stay with me , please .",T
chore,N,4-4,"Washing dishes is a chore , but we can not just stop eating .",The farmer 's morning chores .,T
stripe,N,3-3,Businessmen of every stripe joined in opposition to the proposal .,They earned their stripes in Kuwait .,F
sight,N,4-7,He was a familiar sight on the television .,They went to Paris to see the sights .,T
potluck,N,4-7,Here 's a good potluck of beans and stew .,Having arrived unannounced we had to take potluck .,T
push,V,3-1,You need to push quite hard to get this door open .,Nora pushed through the crowd .,T
nut,N,7-5,He was driving his car like a nut .,I kicked him in the nuts .,F
share,V,2-3,Our children share a love of music .,The two countries share a long border .,T
develop,V,2-2,Children must develop a sense of right and wrong .,We have developed a new theory of evolution .,F
compress,V,4-1,The force required to compress a spring varies linearly with the displacement .,She compressed her lips .,T
pressure,N,2-6,He used pressure to stop the bleeding .,The sensitivity of his skin to pressure and temperature was normal .,F
love,V,1-1,I love French food .,I loved to write .,T
strike,V,0-2,Strike an arc .,The clock struck midnight .,F
shtik,N,3-7,He 's a shtik crazy .,How did you ever fall for a shtik like that ?,F
tremor,N,3-4,She felt a tremor in her stomach before going on stage .,Did you feel the tremor this morning ?,F
whitewash,V,3-10,Let 's not whitewash the crimes of Stalin .,"In his sermon , the minister did n't try to whitewash over the sins of his church .",F
bridge,N,6-5,Her glasses left marks on the bridge of her nose .,Rugby players often break the bridge of their noses .,T
adoxography,N,4-0,"Elizabethan schoolboys were taught adoxography , the art of eruditely praising worthless things .",Adoxography is particularly useful to lawyers .,T
dexterity,N,9-7,She twirled the knife through her fingers with impressive dexterity .,Playing computer games can improve your manual dexterity .,T
reflect,V,13-4,"People do that sort of thing every day , without ever stopping to reflect on the consequences .",The teacher 's ability reflects well on the school .,F
harbour,N,6-7,The city has an excellent natural harbour .,The neighbourhood is a well - known harbour for petty thieves .,F
absorb,V,0-1,Absorb the costs for something .,He absorbed the knowledge or beliefs of his tribe .,F
round,N,1-3,The round of the seasons .,The postman 's rounds .,F
resolution,N,3-6,Printing at higher resolution will cause a reduction in performance .,They never did achieve a final resolution of their differences .,F
applaud,V,1-9,I applaud your efforts .,"Although we do n't like your methods , we applaud your motives .",T
trailer,N,1-14,The trailer for that movie makes it seem like it would be fun .,"At the end of the day , we put the snowmobiles back on the trailer .",F
dinner,N,7-6,Guests should never be late to a dinner party .,On Sundays they had a large dinner when they returned from church .,F
growth,N,1-1,A growth of hair .,The growth of culture .,F
buzz,N,1-1,The buzz of excitement was so great that a formal denial was issued .,The buzz of a bumble bee .,F
beat,N,8-1,In the old days a policeman walked a beat and knew all his people by name .,A beat of the heart .,F
footprint,N,5-1,The computer had a desktop footprint of 10 by 16 inches .,The footprints of an earlier civilization .,F
nowhere,N,4-6,He came out of nowhere .,They went on a cruise to nowhere .,T
mince,N,1-0,A mince of mushrooms .,Mince tastes really good fried in a pan with some chopped onion and tomato .,T
militarize,V,0-0,Militarize the Civil Service .,Militarize Germany again after the war .,F
intention,N,1-1,The intention of this legislation is to boost the economy .,Good intentions are not enough .,T
submerge,V,0-2,Submerge your head completely .,The submarine submerged in the water .,F
amuse,V,6-2,I watch these movies because they amuse me .,The clown amused the children .,T
calibrate,V,0-1,Calibrate a gun .,He calibrated the thermometer for the Celsius scale .,F
circumference,N,8-5,A danger to all races over the whole circumference of the globe .,He had walked the full circumference of his land .,T
tap,V,0-0,Tap a keg of beer .,Tap a maple tree for its syrup .,T
branch,N,4-2,We opened a new branch in London .,Our main branch is downtown .,T
peradventure,N,3-2,This proves beyond peradventure that he is innocent .,Proved beyond peradventure . — South .,T
finish,N,8-11,My horse was several lengths behind at the finish .,The winner is the team with the most points at the finish .,T
kick,N,1-11,The kick must be synchronized with the arm movements .,A sidecar is a smooth drink but it has a powerful kick .,F
month,N,4-6,He was given a month to pay the bill .,We went on holiday for two months .,T
contradistinction,N,2-6,Sculpture in contradistinction to painting .,We used hamburgers and soda in contradistinction to healthy food .,T
remove,V,0-2,Remove a wrapper .,The President removed many postmasters .,F
crash,V,2-2,"You can crash here , though it 's not very comfortable .",The terrorists crashed the plane into the palace .,F
smoothness,N,11-2,The weather system of the Pacific is determined by the uninterrupted smoothness of the ocean .,His oily smoothness concealed his guilt from the police .,F
exhibition,N,4-2,There was an art exhibition on in the town hall .,A boat exhibition .,T
cloister,V,0-1,Cloister the garden .,She cloistered herself in the office .,F
maneuver,N,4-6,He made a great maneuver .,Parallel parking can be a difficult maneuver .,T
mess,N,4-5,The house was a mess .,My boss dumped a whole mess of projects on my desk today .,F
burn,V,0-3,Burn a CD .,My eyes are burning .,F
knuckleball,N,8-14,Even the pitcher does n't know where his knuckleball is going .,Boston Red Sox pitcher Tim Wakefield is best known for his use of the knuckleball .,T
map,V,0-0,Map the genes .,Map the surface of Venus .,F
mandate,V,0-7,Mandate a colony .,The new director of the school board mandated regular tests .,F
way,N,7-4,They did n't have much in the way of clothing .,We went our separate ways .,F
shock,V,1-0,To shock rye .,Shock grain .,T
tipper,N,2-7,A generous tipper .,The Americans are among the most generous tippers in the world .,T
avail,V,2-1,It will avail them to dispose of their booty .,He availed himself of the available resources .,F
button,N,6-4,"The politician wore a bright yellow button with the slogan "" Vote Smart "" emblazoned on it .",They passed out campaign buttons for their candidate .,T
crop,N,2-2,The annual crop of students brings many new ideas .,The latest crop of fashions is about to hit the stores .,F
boot,V,0-11,Boot your computer .,"When arriving at the office , first thing I do is booting my machine .",T
heartbeat,N,5-5,The policeman waited for a heartbeat in vain .,He alone gives me such heartbeats .,T
drag,V,3-2,Time seems to drag when you 're waiting for a bus .,The speech dragged on for two hours .,F
chisel,V,0-2,Chisel the marble .,Who 's chiseling on the side ?,F
literature,N,11-2,One aspect of Waterloo has not yet been treated in the literature .,The technical literature .,T
snatch,N,2-1,Martin 's snatch at the bridle failed and the horse raced away .,Overheard snatches of their conversation .,F
excite,V,5-0,There are drugs designed to excite certain nerves in our body .,Excite the audience .,T
building,N,2-1,The entire building complained about the noise .,The building of the bridge will be completed in a couple of weeks .,F
scallop,V,0-0,Scallop the hem of the dress .,Scallop the meat .,F
date,V,4-1,Scientists often can not date precisely archeological or prehistorical findings .,To date the building of the pyramids .,T
exchange,N,4-1,They had a bitter exchange .,An exchange of cattle for grain .,F
apology,N,3-1,It was an apology for a meal .,The Apology of Socrates .,F
spade,N,4-0,She led a low spade .,Spades were trumps .,T
cocoon,V,7-1,She loves to stay at home and cocoon .,Families cocoon around the T.V. set most evenings .,T
build,V,0-3,Build up confidence .,They had to build up their fortress to protect against attack .,T
winterize,V,0-0,Winterize cars .,Winterize your houses .,T
wish,N,3-2,He got his wish .,My best wishes .,F
reinstatement,N,1-15,Her reinstatement to her former office followed quickly .,Many people are unhappy with the sacking of the chief constable and demand his immediate reinstatement .,F
watch,V,9-3,Put a little baking soda in some vinegar and watch what happens .,The world is watching Sarajevo .,F
installation,N,8-2,He gave a speech as part of his installation into the hall of fame .,The telephone installation took only a few minutes .,F
conceive,V,3-7,She can not conceive .,Assisted procreation can help those trying to conceive .,T
touch,V,3-7,He could not touch the meaning of the poem .,Helen Keller felt the physical world by touching people and objects around her .,F
percolate,V,0-2,Percolate coffee .,I 'll percolate some coffee .,T
drought,N,10-5,When England defeated Pakistan it ended a ten - year drought .,Farmers most affected by the drought hope that there may yet be sufficient rain early in the growing season .,F
excite,V,0-6,Excite the neurons .,The fireworks which opened the festivities excited anyone present .,F
pull,N,2-3,A zipper pull .,He grabbed the pull and opened the drawer .,T
fight,N,1-2,A fight broke out at the hockey game .,There were fights in the streets .,T
breed,N,5-1,He experimented on a particular breed of white rats .,A breed of animal .,T
mainstream,N,6-6,His thinking was in the American mainstream .,"His ideas were well outside the mainstream , but he presented them intelligently , and we were impressed if not convinced .",T
help,N,3-3,There 's no help for it .,I need some help with my homework .,F
cognate,N,3-10,"English is a cognate of Greek , German , Russian and Persian .","English and , Russian , Icelandic and Irish are all cognates .",T
convey,V,1-1,To convey information .,She conveyed the message to me .,T
profession,N,1-6,A profession of disagreement .,My father was a barrister by profession .,F
protest,N,6-5,The senator rose to register his protest .,They finished the game under protest to the league president .,T
operation,N,3-7,The plane 's operation in high winds .,The power of its engine determines its operation .,T
strip,N,6-3,He welded together some pieces of strip .,She did a strip right in front of everyone .,F
toss,V,2-1,I 'll toss you for it .,Steve tossed John the ball .,T
squeaker,N,4-3,Which hinge is the squeaker ?,Those sneakers are squeakers .,T
delta,N,2-3,The Nile delta .,The Mississippi River delta .,T
sign,V,1-1,Please sign on the dotted line .,Please sign here .,T
capacity,N,2-7,Limited runway capacity .,He should be retained in his present capacity at a higher salary .,F
frame,N,2-9,A lace frame .,His starved flesh hung loosely on his once imposing frame .,F
solemnize,V,4-2,"The couple chose to solemnize their relationship in a secular ceremony , instead of having a wedding .",The King solemnized this day of morning .,F
drawing,N,1-8,The drawing of water from the well .,He did complicated pen - and - ink drawings like medieval miniatures .,F
cup,N,3-4,He put the cup back in the saucer .,The handle of the cup was missing .,T
plan,V,0-1,Plan an attack .,He plans to be in graduate school next year .,F
hit,V,0-3,Hit the bottle .,He tries to hit on women in bars .,F
criticize,V,2-2,"Those who criticize others often are not perfect , either .",The paper criticized the new movie .,F
wake,N,7-3,There 's no weeping at an Irish wake .,The motorboat 's wake capsized the canoe .,F
stream,N,3-4,He felt a stream of air .,The hose ejected a stream of water .,T
block,V,0-3,Block the signals emitted by this station .,The thick curtain blocked the action on the stage .,F
obstacle,N,5-7,Lack of imagination is an obstacle to one 's advancement .,The poverty of a district is an obstacle to good education .,T
point,V,0-4,Point a gun .,It 's rude to point at other people .,F
draw,N,4-4,The luck of the draw .,They anticipated a tough draw .,T
embellish,V,1-5,"To embellish a story , the truth .",The old book cover was embellished with golden letters .,T
glimpse,N,7-4,From the window he could catch a glimpse of the lake .,He caught only a glimpse of the professor 's meaning .,F
shuffle,V,1-0,"You shuffle , I 'll deal .",Shuffle the cards .,T
bracket,V,1-0,Please bracket this remark .,Bracket bookshelves .,F
vary,V,1-2,Prices vary .,His moods vary depending on the weather .,T
abridge,V,4-4,The new law might abridge our freedom of expression .,He had his rights abridged by the crooked sheriff .,T
attack,N,4-1,He published an unexpected attack on my work .,An attack of diarrhea .,F
revenge,N,4-15,Indifference is the sweetest revenge .,"When I left my wife , she tried to set fire to the house in revenge .",T
review,V,2-10,Let 's review your situation .,"Before I tackle the question directly , I must briefly review historical approaches to the problem .",T
tilt,N,3-5,The court 's tilt toward conservative rulings .,The tower had a pronounced tilt .,F
consult,V,3-0,They had to consult before arriving at a decision .,Consult your local broker .,T
reline,V,0-6,Reline the paper .,The old fur coat must be relined .,F
liberty,N,1-0,At liberty to choose whatever occupation one wishes .,Liberty to think or feel or do just as one pleases .,T
answer,V,0-5,Answer the question .,She did n't want to answer .,T
carve,V,0-2,Carve one 's name into the bark .,That chisel carved the statue .,T
square,N,10-3,The carpenter who built this room must have lost his square .,64 is the square of 8 .,F
donate,V,0-1,Donate money to the orphanage .,I donated blood to the Red Cross for the victims of the earthquake .,T
proliferate,V,3-2,We must not proliferate nuclear arms .,The flowers proliferated rapidly all spring .,T
hew,V,0-11,Hew out a path in the rock .,One of the most widely used typefaces in the world was hewn by the English printer and typographer John Baskerville .,T
keep,V,2-1,Can I keep my old stuffed animals ?,She kept her maiden name after she married .,T
sophistication,N,5-6,He practiced the art of sophistication upon reason .,Understanding affine transformations requires considerable mathematical sophistication .,F
shot,N,5-1,He trained at putting the shot .,"The shot flew twenty metres , and nearly landed on the judge 's foot .",T
muscle,N,4-0,The senators used their muscle to get the party leader to resign .,Muscle consists largely of actin and myosin filaments .,F
fiddle,V,2-2,Do n't fiddle with the screws .,She always fiddles with her van on the weekend .,F
harass,V,0-2,Harass the enemy .,This man harasses his female co - workers .,F
minister,N,1-4,The minister said a prayer on behalf of the entire congregation .,Clergymen are usually called ministers in Protestant churches .,T
sequence,N,5-4,He played the trumps in sequence .,The doctor saw a sequence of patients .,F
abatement,N,1-3,The abatement of a nuisance is the suppression thereof .,Laws enforcing noise abatement .,T
incorporate,V,0-3,Incorporate this document with those pertaining to the same case .,The company was incorporated in 1980 .,F
chew,V,5-0,The steak was tough to chew as it had been cooked too long .,Chew your food and do n't swallow it !,T
conclusion,N,1-1,The conclusion of the peace treaty .,The conclusion of a business deal .,T
fiefdom,N,3-20,The duke 's fiefdom had been greatly expanded as a reward for his dutiful military service on behalf of the king .,"Most of our company 's computers are standardized , but the IT director allows the employees in his own little fiefdom to specify their own machines .",F
marriage,N,1-1,A marriage of ideas .,The marriage of music and dance .,T
button,N,3-6,"Pat pushed the button marked "" shred "" on the blender .",The elevator was operated by push buttons .,T
plant,V,0-0,Plant bugs in the dissident 's apartment .,Plant a spy in Moscow .,T
accumulate,V,3-2,He wishes to accumulate a sum of money .,Journals are accumulating in my office .,T
wrangle,V,0-11,Wrangle horses .,"The bar keeper threw them out , but they continued to wrangle on down the street .",F
ticket,N,6-9,This car could be just the ticket for a small family .,Joe will be running on an anti - crime ticket .,F
shake,V,0-2,Shake the salt out of the salt shaker .,His hands shook .,F
process,V,0-1,Process iron .,They processed into the dining room .,F
spread,V,2-1,The infection spread .,Optimism spread among the population .,T
seize,V,4-2,Birds of prey often seize small mammals .,The invaders seized the land and property of the inhabitants .,F
follow,V,2-1,We must follow closely the economic development is Cuba .,It follows that your assertion is false .,F
pull,N,4-6,It was a long pull but we made it .,He was sidelined with a hamstring pull .,F
misdirect,V,0-2,Misdirect the letter .,The pedestrian misdirected the out - of - town driver .,F
distribution,N,2-1,Worldwide in distribution .,The distribution of nerve fibers .,T
sit,V,6-7,When does the court of law sit ?,In what city is the circuit court sitting for this session .,T
command,V,1-0,To command an army or a ship .,Command the military forces .,T
touch,N,3-4,He has a touch of rheumatism .,He longed for the touch of her hand .,F
last,V,3-3,Summer seems to last longer each year .,The bad weather lasted for three days .,T
lead,N,2-13,A good lead for a job .,"Joe is a great addition to our sales team , he has numerous leads in the paper industry .",T
contact,V,4-2,I am trying to contact my sister .,He never contacted his children after he emigrated to Australia .,T
send,V,0-1,Send me your latest results .,Nora sent the book from Paris .,T
patronage,N,6-7,The restaurant had an upper class patronage .,Even before noon there was a considerable patronage .,F
exile,N,3-4,He lived in exile .,She lived as an exile .,F
bastion,N,2-1,The last bastion of communism .,A bastion against corruption .,T
admit,V,0-2,Admit someone to the profession .,She was admitted to the New Jersey Bar .,T
occurrence,N,4-1,A disease of frequent occurrence .,The occurrence ( or presence ) of life on other planets .,T
ease,V,0-2,Ease the pain in your legs .,The pain eased overnight .,F
safety,N,3-3,He ran to safety .,The reciprocal of safety is risk .,F
save,N,7-5,The relief pitcher got credit for a save .,The goalie made a brilliant save .,T
stop,V,0-0,Stop a car .,Stop the thief .,T
exalt,V,2-3,These paintings exalt the imagination .,The man was exalted from a humble carpenter to a minister .,F
taste,N,11-3,To ask at that particular time was the ultimate in bad taste .,He got a taste of life on the wild side .,F
advantage,N,4-5,The enemy had the advantage of a more elevated position .,The experience gave him the advantage over me .,T
deliberation,N,3-1,It was the deliberation of his act that was insulting .,The deliberations of the jury .,F
allowance,V,5-3,The captain was obliged to allowance his crew .,Our provisions were allowanced .,T
arousal,N,3-6,To influence the arousal of brain and behavior .,The purpose of art is the arousal of emotions .,T
whimsy,N,0-3,Whimsy can be humorous to someone with time to enjoy it .,He had a whimsy about flying to the moon .,T
strain,V,2-2,Do n't strain your mind too much .,The rope strained when the weight was attached .,F
vision,N,9-3,The runners emerged from the trees into his clear vision .,He had a vision of the Virgin Mary .,F
relieve,V,3-2,This shall not relieve either Party of any obligations .,The thief relieved me of $ 100 .,F
vote,V,1-1,I vote that we all go home .,She voted for going to the Chinese restaurant .,T
gap,N,0-7,Gap between income and outgo .,The exploring party went through the high gap in the mountains .,F
partnership,N,5-5,The action teams worked in partnership with the government .,"Effective language learning is a partnership between school , teacher and student .",T
piece,N,6-3,The children acted out a comic piece to amuse the guests .,He sacrificed a piece to get a strategic advantage .,F
body,N,1-1,The body of the car was badly rusted .,Administrative body .,F
right,N,2-1,Take a right at the corner .,Film rights .,F
fuel,N,1-3,More fuel is needed during the winter months .,They developed alternative fuels for aircraft .,T
peg,V,2-0,Let 's peg the rug to the floor .,Peg a tent .,T
largeness,N,6-5,The might have repercussions of unimaginable largeness .,A man distinguished by the largeness and scope of his views .,F
affect,V,4-2,Will the new rules affect me ?,The medicine affects my heart rate .,F
hell,N,2-1,War is hell .,The hell of battle .,F
cost,N,2-2,The average cost of a new house is twice as much as t was 20 years ago .,The total cost of the new complex was an estimated $ 1.5 million .,T
parade,N,6-3,"The floats and horses in the parade were impressive , but the marching bands were really amazing .",She made a parade of her sorrows .,F
preparation,N,3-8,He left the preparation of meals to his wife .,The resolution of one dissonance is often the preparation for another dissonance .,F
sort,N,4-3,She served a creamy sort of dessert thing .,She wore a sort of magenta dress .,T
refrigerate,V,1-0,Please refrigerate your uncooked meats at or below 40 Fahrenheit .,Refrigerate this medicine .,T
ash,N,4-1,The woods planted in ash will see a different mix of species .,The ash trees are dying off .,T
tradecraft,N,13-10,The CIA chief of station accepted responsibility for his agents ' failures of tradecraft .,Instructional designers are trained in something that might be called tradecraft .,T
sense,V,2-2,Particle detectors sense ionization .,She immediately sensed her disdain .,F
utter,V,0-1,Utter counterfeit currency .,He uttered strange sounds that nobody could understand .,F
capital,N,2-2,The drug capital of Columbia .,The crime capital of Italy .,T
prepare,V,0-1,Prepare for war .,We prepared a fish for dinner .,F
gem,N,3-4,He had the gem set in a ring for his wife .,She 's an absolute gem .,F
part,N,5-3,The government must do its part .,Religions in all parts of the world .,F
rise,V,0-2,Rise to the occasion .,Her spirits rose when she heard the good news .,F
hook,V,0-2,Hook the ball .,His opponent hooked him badly .,F
tool,N,3-6,"He was a tool , no more than a pawn to her .",I do n't have the right tools to start fiddling around with the engine .,F
life,N,1-13,Real life .,It was a heavy play and the actors tried in vain to give life to it .,F
result,V,0-3,Result in tragedy .,This measure will result in good or in evil .,T
story,N,4-2,The book tells the story of two roommates .,Disney 's stories entertain adults as well as children .,T
load,N,3-5,That 's a load off my mind .,I 'm worried that the load on that transformer will be too high .,F
office,N,4-5,An executive or judical office .,During his first year in office .,F
configure,V,0-0,Configure a plane for a combat mission .,Configure my new computer .,T
torrent,N,7-3,The houses were swept away in the torrent .,They endured a torrent of inquiries .,T
choke,V,0-3,Choke a carburetor .,This neckband is choking the cat .,F
embodiment,N,1-4,The embodiment of hope .,A circle was the embodiment of his concept of life .,F
date,N,1-1,His date never stopped talking .,The date for pleading .,F
engrave,V,0-0,Engrave a letter .,Engrave a pen .,F
blend,N,5-7,` smog ' is a blend of ` smoke ' and ` fog ' .,Their music has been described as a blend of jazz and heavy metal .,T
aim,V,3-1,She wanted to aim a pun .,He aimed his fists towards his opponent 's face .,F
department,N,5-4,His work established a new department of literature .,Baking is not my department .,T
plume,N,1-3,A plume of smoke .,Grass with large plumes .,T
curd,N,1-1,Bean curd .,Lemon curd .,T
rush,N,7-4,The linebackers were ready to stop a rush .,Come back after the rush .,F
remover,N,1-1,Rust remover .,Paint remover .,T
care,N,5-0,He handled the vase with care .,Care should be taken when holding babies .,F
noise,N,15-3,"He knew that it was trash day , when the garbage collectors made all the noise .",They heard indistinct noises of people talking .,F
donate,V,5-1,Some of the members may donate privately .,She donates to her favorite charity every month .,T
earshot,N,10-7,I 'll row out on the lake but stay within earshot .,The children were told to stay within earshot .,T
home,N,11-1,Canadian tariffs enabled United States lumber companies to raise prices at home .,His home is New Jersey .,T
member,N,3-4,Canada is a member of the United Nations .,The library was a member of the interlibrary loan association .,T
class,N,3-15,An emerging professional class .,"Apologizing for losing your temper , even though you were badly provoked , showed real class .",F
disable,V,0-2,Disable this command on your computer .,He was disabled in a car accident .,F
moderate,V,1-1,To moderate a synod .,John moderated the discussion .,T
horse,N,2-1,A clothes horse .,500 horse led the attack .,F
