word,word_type,index,example_1,example_2,semantic_consistency
tree,V,4-4,Her dog likes to tree squirrels .,This lot should be treed so that the house will be shaded in summer .,F
attitude,N,10-6,The airliner had to land with a nose - up attitude after the incident .,The actor struck just the right attitude .,F
afford,V,3-2,We ca n't afford to send our children to college .,Can you afford this car ?,T
renovate,V,2-1,This will renovate my spirits .,They renovated the ceiling of the Sistine Chapel .,F
wateriness,N,1-3,The wateriness of his blood .,The haziness and wateriness of his disquisitions .,T
continent,N,5-3,Pioneers had to cross the continent on foot .,There are seven continents .,T
break,N,2-5,Make a break for it .,He finally got his big break .,F
operation,N,4-4,They organized a rescue operation .,Consolidate the companies various operations .,T
check,N,8-1,As he called the role he put a check mark by each student 's name .,A check on its dependability under stress .,F
influence,N,4-4,He was a bad influence on the children .,Used her parents ' influence to get the job .,F
scrub,V,2-1,Surgeons must scrub prior to an operation .,She scrubbed his back .,F
facility,N,6-1,The assembly plant is an enormous facility .,Educational facilities .,F
wine,N,3-0,She ordered some wine for the meal .,Wine is stronger than beer .,T
closure,N,3-11,They regretted the closure of the day care center .,He needed to grieve before he could achieve a sense of closure .,F
cuisine,N,7-1,The restaurant is noted for its excellent cuisine .,French cuisine is considered to be one of the world 's most refined and elegant styles of cooking .,T
peak,N,1-4,The peak of perfection .,The view from the peak was magnificent .,F
liberate,V,1-1,To liberate the mind from prejudice .,To liberate gases .,T
trip,V,5-5,A pedestrian was able to trip the burglar as he was running away .,The questions on the test tripped him up .,T
ball,N,1-4,The ball at the base of the thumb .,He stood on the balls of his feet .,T
move,N,3-10,It 's your move ! Roll the dice !,"If you roll a six , you can make two moves .",T
slip,V,0-3,Slip into something comfortable .,My grades are slipping .,F
flush,V,0-2,Flush the meadows .,The sky flushed with rosy splendor .,F
comb,V,0-0,Comb the wool .,Comb your hair before dinner .,T
walk,N,7-0,After the blizzard he shoveled the front walk .,Walking is a healthy form of exercise .,F
blockage,N,3-10,"There was a blockage in the sewer , so we called out the plumber .",We had to call a plumber to clear out the blockage in the drainpipe .,F
collapse,V,0-4,Collapse the music stand .,The school system is collapsing .,F
sleep,V,1-2,We sleep five people in each room .,This tent sleeps six people .,T
shape,N,6-6,Geometry is the mathematical science of shape .,He could barely make out their shapes .,F
leave,V,0-1,Leave your child the nurse 's care .,He left the decision to his deputy .,T
aliyah,N,2-6,Students making aliyah .,He was called on for an aliyah .,F
lay,V,1-0,To lay a tax on land .,Lay a responsibility on someone .,T
thing,N,1-0,A thing of the spirit .,Things of the heart .,T
acquaintance,N,9-9,I know of the man ; but have no acquaintance with him .,I have trouble remembering the names of all my acquaintances .,F
sign,V,0-4,Sign an intersection .,This road has been signed .,T
street,N,4-2,Be careful crossing the street .,The whole street protested the absence of lights .,F
fuss,V,2-1,Do n't fuss too much over the grandchildren -- they are quite big now .,She fusses over her husband .,F
affair,N,5-6,It is none of your affair .,He used a hook - shaped affair with a long handle to unlock the car .,T
direct,V,0-1,"Direct your anger towards others , not towards yourself .",He directed all his energies into his dissertation .,F
characterize,V,2-4,You can characterize his behavior as that of an egotist .,This poem can be characterized as a lament for a dead lover .,T
strangle,V,5-6,The imperialist nation wanted to strangle the free trade between the two small countries .,A man in Boston has been strangling several dozen prostitutes .,F
board,N,1-4,The board has seven members .,He got out the board and set up the pieces .,F
grip,N,8-4,In Britain they call a bobby pin a grip .,They kept a firm grip on the two top priorities .,F
swear,V,1-3,I swear by my grandmother 's recipes .,Before God I swear I am innocent .,F
gown,N,5-5,The relations between town and gown are always sensitive .,"In the perennial town versus gown battles , townies win some violent battles , but the collegians are winning the war .",T
triangulate,V,0-5,Triangulate the piece of cardboard .,The land surveyor worked by triangulating the plot .,F
snap,N,3-3,The infielder 's snap and throw was a single motion .,Children can manage snaps better than buttons .,F
say,V,4-2,What does the law say ?,The clock says noon .,F
aptness,N,1-1,The aptness of men to follow example .,The aptness of iron to rust .,T
pay,N,3-11,He wasted his pay on drink .,Many employers have rules designed to keep employees from comparing their pays .,T
collapse,N,1-6,The collapse of the old star under its own gravity .,The roof is in danger of collapse .,T
go,N,3-5,It 's my go .,I 'll give it a go .,F
go,V,4-2,How did your interview go ?,"She was going that way anyway , so she offered to show him where it was .",T
shot,N,6-5,The nurse gave him a flu shot .,He tried to get unposed shots of his friends .,F
mixture,N,3-1,He drank a mixture of beer and lemonade .,The mixture of sulphuric acid and water produces heat .,F
abuse,N,1-6,"All abuse , whether physical , verbal , psychological or sexual , is bad .",The child showed signs of physical abuse .,T
breeze,N,1-1,The breeze rustled the papers on her desk .,The breeze was cooled by the lake .,T
floss,V,1-2,She flossed her teeth .,The hygienist flossed my teeth .,T
refresher,N,5-8,The nap was a welcome refresher .,He stopped at the bar for a quick refresher .,T
violate,V,0-2,Violate the sanctity of the church .,This sentence violates the rules of syntax .,F
barrage,N,1-4,A barrage of questions .,They laid down a barrage in front of the advancing troops .,F
work,N,7-3,The symphony was hailed as an ingenious work .,Erosion is the work of wind or water over time .,T
transfer,N,1-5,The transfer of the music from record to tape suppressed much of the background noise .,The best student was a transfer from LSU .,F
homogenization,N,1-3,The homogenization of cream .,The network 's homogenization of political news .,T
intellect,N,4-6,He has a keen intellect .,Some of the world 's leading intellects were meeting there .,F
toilet,N,4-4,He made his morning toilet and went to breakfast .,Pensions are in the toilet .,F
military,N,1-6,Their military is the largest in the region .,He spent six years in the military .,T
leave,V,0-1,Leave lots of time for the trip .,This leaves no room for improvement .,T
scraping,N,4-3,All that bowing and scraping did not impress him .,They collected blood scrapings for analysis .,F
breed,N,4-1,Google represents a new breed of entrepreneurs .,A breed of tulip .,F
section,N,7-0,There are three synagogues in the Jewish section .,Sections from the left ventricle showed diseased tissue .,F
pound,V,2-0,The locks pound the water of the canal .,Pound the roots with a heavy flat stone .,F
connection,N,8-8,The bus was late so he missed his connection at Penn Station and had to wait six hours for the next train .,The plane was late and he missed his connection in Atlanta .,T
mechanism,N,1-0,A mechanism of social control .,Mechanisms of communication .,T
gargle,V,0-3,Gargle with this liquid .,Every morning he gargled a little cheap Scotch .,T
bang,N,3-4,He got a bang on the head .,They got a great bang out of it .,F
activity,N,1-4,Catalytic activity .,They avoided all recreational activity .,F
terror,N,2-3,He used terror to make them confess .,He was the terror of the neighborhood .,F
landing,N,5-1,The plane made a smooth landing .,His landing on his feet was catlike .,T
flowage,N,4-6,Rock fracture and rock flowage are different types of geological deformation .,Many campsites were located near the flowage .,F
denizen,N,5-7,The bald eagle is a denizen of the northern part of the state .,The giant squid is one of many denizens of the deep .,F
sensation,N,4-1,The news caused a sensation .,A sensation of touch .,F
state,V,0-0,State your name .,State your opinion .,T
foot,N,4-5,We went there by foot because we could not afford a taxi .,There is a lot of foot traffic on this street .,T
dollar,N,4-1,He worships the almighty dollar .,The dollar coin has never been popular in the United States .,F
view,N,6-10,They look the same in outward view .,The most desirable feature of the park are the beautiful views .,F
need,V,1-1,I need him to be nice .,I needed him to go .,T
role,N,5-2,My neighbor was the lead role in last year 's village play .,Play its role .,F
policy,N,9-3,You should have read the small print on your policy .,It was a policy of retribution .,F
urgency,N,7-7,They departed hurriedly because of some great urgency in their affairs .,"I 'll be there , barring any urgencies .",T
book,N,5-13,I am reading a good book on economics .,He was frustrated because he could n't find anything about dinosaurs in the book .,T
scrap,N,7-8,The unhappy couple got into a terrible scrap .,That car is n't good for anything but scrap .,F
mess,V,1-3,I mess with the wardroom officers .,The afternoon breeze messed up my hair .,F
recognition,N,7-6,Territorial disputes were resolved in Guatemala 's recognition of Belize in 1991 .,The partners were delighted with the recognition of their work .,F
hitter,N,2-3,A hard hitter .,Blacksmiths are good hitters .,T
affiliation,N,3-2,A valuable financial affiliation .,Welcomed the affiliation of the research center with the university .,F
mate,N,4-9,He 's my best mate .,I 'm going to the pub with a few mates .,T
middle,N,2-3,"In the middle of the marathon , David collapsed from fatigue .",Rain during the middle of April .,F
diet,N,1-6,The diet of the Giant Panda consists mainly of bamboo .,He 's been reading a steady diet of nonfiction for the last several years .,F
induction,N,6-1,He was ordered to report for induction into the army .,The induction of an anesthetic state .,F
bull,V,1-1,To bull railroad bonds .,He bulled his way in .,F
impregnation,N,1-1,The impregnation of wood with preservative .,"The impregnation , whatever it was , had turned the rock blue .",F
escalation,N,4-4,Higher wages caused an escalation of prices .,There was a gradual escalation of hostilities .,T
motivation,N,5-1,We did not understand his motivation .,His motivation was at a high level .,F
identity,N,2-4,"A right identity , x * I = x for any x in the structure .",You can lose your identity when you join the army .,F
holiday,N,4-6,Today is a Wiccan holiday !,No mail is delivered on federal holidays .,T
fire,N,3-3,Clinton directed his fire at the Republican Party .,There was a fire at the school last night and the whole place burned down .,F
average,V,2-8,"If you average 10 , 20 and 24 , you get 18 .",The number of hours I work per work averages out to 40 .,F
addition,N,1-1,The addition of a leap day every four years .,The addition of a bathroom was a major improvement .,F
segment,V,0-0,Segment a compound word .,Segment an orange .,T
shoot,V,0-0,Shoot cloth .,Shoot a star .,F
education,N,3-0,A girl 's education was less important than a boy 's .,Education is a preparation for life .,T
succession,N,1-1,A succession of failures .,A succession of stalls offering soft drinks .,T
erase,V,3-2,The files will erase quickly .,The chalkboard erased easily .,T
crush,V,1-2,To crush grapes .,The car crushed the toy .,F
figure,V,1-4,Elections figure prominently in every government program .,How do the elections figure in the current pattern of internal politics ?,T
eliminate,V,2-4,Let 's eliminate the course on Akkadian hieroglyphics .,This possibility can be eliminated from our consideration .,F
house,N,3-1,He counted the house .,The house applauded .,T
cooperation,N,1-6,Economic cooperation .,They agreed on a policy of cooperation .,T
indent,V,0-0,Indent the documents .,Indent the paragraphs of a letter .,F
militia,N,4-10,Their troops were untrained militia .,Congress shall have power to provide for calling forth the militia -- United States Constitution .,T
probation,N,0-4,Probation is part of the sentencing process .,"You 'll be on probation for first six months . After that , if you work out , they 'll hire you permanently .",F
bag,V,0-1,Bag a few pheasants .,We bagged three deer yesterday .,T
herald,N,4-4,Rouge Dragon is a herald at the College of Arms .,The chieftain had a herald who announced his arrival with a trumpet .,T
detention,N,1-1,His detention was politically motivated .,The detention of tardy pupils .,F
spread,V,2-4,The invaders spread their language all over the country .,A big oil spot spread across the water .,F
accession,N,0-5,Accession to such demands would set a dangerous precedent .,The librarian shelved the new accessions .,F
switch,V,0-3,Switch to a different brand of beer .,I want to switch this red dress for a green one .,F
hang,V,2-0,Let 's hang this cute animal in the nursery .,Hang wallpaper .,T
association,N,9-5,You can not be convicted of criminal guilt by association .,He joined the Modern Language Association .,F
drop,N,8-4,It was a miracle that he survived the drop from that height .,"That was a long drop , but fortunately I did n't break any bones .",F
precaution,N,10-2,He put an ice pack on the injury as a precaution .,To take precautions against risks of accident .,T
experience,N,2-0,A surprising experience .,Experience is the best teacher .,F
undo,V,0-3,Undo the shoelace .,A single mistake undid the President and he had to resign .,F
relief,N,4-2,He has been on relief for many years .,Was the relief supposed to be protection from future harm or compensation for past injury ?,F
adhocracy,N,8-5,The need for informational flexibility can lead to adhocracy .,The choice between bureaucracy and adhocracy represents a common dilemma .,T
nightlife,N,4-5,In the summer the nightlife shifts to the dance clubs .,A futile search for intelligent nightlife .,T
pencil,N,2-6,An eyebrow pencil .,This artist 's favorite medium is pencil .,F
poster,N,3-1,I saw a poster for it on the side of a bus .,A poster advertised the coming attractions .,T
word,N,3-10,We had a word or two about it .,"There was then a long discussion of whether to capitalize words like "" east "" .",T
want,V,0-2,Want the strength to go on living .,Flood victims wanting food and shelter .,T
gauntlet,N,3-3,Threw down the gauntlet .,Took up the gauntlet .,T
bull,N,3-4,He was a bull of a man .,He made a bad bull of the assignment .,F
flick,V,0-1,Flick a piece of paper across the table .,He flicked his Bic .,F
treatment,N,1-1,His treatment of the race question is badly biased .,His treatment of space borrows from Italian architecture .,F
authority,N,6-5,She lost all her respect and authority after turning up drunk to the meeting .,This book is the final authority on the life of Milton .,F
grunt,N,3-5,He went from grunt to chairman in six years .,Infantrymen in Vietnam were called grunts .,T
toast,N,5-5,That toaster can make wonderful toasts .,I ate a piece of toast for breakfast .,T
hour,N,3-4,We live an hour from the airport .,It was their finest hour .,F
dig,N,7-3,They set up camp next to the dig .,She takes a dig at me every chance she gets .,F
dish,N,4-6,They served me a dish of rice .,We gave them a set of dishes for a wedding present .,F
death,N,5-5,The animal died a painful death .,He seemed more content in death than he had ever been in life .,F
upgrade,N,6-9,The power plant received a new upgrade .,"With my phone company , I get a free upgrade every twelve months if I keep topping up 10 pounds a month .",T
afflict,V,0-2,Afflict with the plague .,She was afflicted by the death of her parents .,F
post,V,0-2,Post a warning at the dump .,The newspaper posted him in Timbuktu .,F
group,N,3-1,There is a group of houses behind the hill .,A group of people gathered in front of the Parliament to demonstrate against the Prime Minister 's proposals .,T
pinnacle,V,0-6,Pinnacle a pediment .,He did not want to be pinnacled .,F
bite,V,4-4,Gunny invariably tried to bite her .,"As soon as you bite that sandwich , you 'll know how good it is .",T
finalize,V,2-11,Let 's finalize the proposal .,"As soon as we get the plane tickets , we 'll finalize our reservations with the hotel .",T
lie,V,0-1,Lie down on the bed until you feel better .,She lied when she told me she was only 29 .,F
agency,N,3-2,She has free agency .,Central Intelligence Agency .,F
string,N,1-1,A string of islands .,The strings played superlatively well .,F
gnash,V,1-1,To gnash the air in fury .,To gnash a carpet .,T
twist,V,2-0,Do n't twist my words .,Twist the dough into a braid .,F
invite,V,2-2,Can I invite you for dinner on Sunday night ?,The organizers invite submissions of papers for the conference .,F
brush,V,0-0,Brush aside the objections .,Brush the dust from the jacket .,T
dad,N,5-0,He had n't seen his dad in years .,"Dad , happy Father 's Day !",T
render,V,0-6,Render the brick walls in the den .,The face of the child is rendered with much tenderness in this painting .,F
kinship,N,2-3,Anthropology 's kinship with the humanities .,Felt a deep kinship with the other students .,T
agency,N,3-3,The superintendence and agency of Providence in the natural world . --Woodward .,The Central Intelligence Agency .,F
breakdown,N,8-5,"After so much stress , he suffered a breakdown and simply gave up .",His warning came after the breakdown of talks in London .,F
combust,V,1-2,We combust coal and other fossil fuels .,The professor combusted when the student did n't know the answer to a very elementary question .,F
writing,N,0-9,Writing was a form of therapy for him .,The idea occurs with increasing frequency in Hemingway 's writings .,F
inadequacy,N,5-1,Juvenile offenses often reflect an inadequacy in the parents .,The inadequacy of unemployment benefits .,F
step,N,2-2,Always a step behind .,Keep in step with the fashions .,T
flip,V,2-1,I 'd flip if anyone broke my phone .,He flipped when he heard that he was accepted into Princeton University .,F
reappearance,N,1-1,The reappearance of Halley 's comet .,His reappearance as Hamlet has been long awaited .,F
usage,N,1-1,English usage .,A usage borrowed from French .,T
gig,N,3-5,They played a gig in New Jersey .,Our guitar player had another gig so we had to get a sub .,T
demon,N,3-4,She 's a demon at math .,He worked like a demon to finish the job on time .,T
eccentricity,N,5-7,"For an ellipse , the eccentricity is the ratio of the distance from the center to a focus divided by the length of the semi - major axis .",A circle is an ellipse with zero eccentricity .,T
allowance,N,2-1,My weekly allowance of two eggs .,Travel allowance .,T
transplant,V,5-0,These delicate plants do not transplant easily .,Transplant the young rice plants .,F
middle,N,5-8,I woke up in the middle of the night .,"A whole is that which has beginning , middle , and end - Aristotle .",T
spin,N,5-4,The campaign put a favorable spin on the story .,The skaters demonstrated their spins .,F
heel,V,0-0,Heel a golf ball .,Heel that dance .,F
socialization,N,1-4,"Force socialization rarely creates strong friendships , but there are exceptions .",There was too much socialization with the enlisted men .,T
attend,V,2-1,I rarely attend services at my church .,She attends class regularly .,T
oppression,N,3-1,The tyrant 's oppression of the people .,The oppression of the poor by the aristocracy was one cause of the French Revolution .,T
tap,V,0-1,Tap a cask of wine .,He tapped a new barrel of beer .,T
touch,V,12-1,"Please can I have a look , if I promise not to touch ?",Carrie touched his shoulder with the stick .,T
work,N,6-1,He was indebted to the pioneering work of John Dewey .,The work of an active imagination .,T
construction,N,5-0,The engineer marvelled at his construction .,Construction is underway on the new bridge .,F
catch,V,10-1,I would love to have dinner but I have to catch a plane .,We caught something of his theory in the lecture .,F
segregate,V,5-2,Experiments show clearly that genes segregate .,Many towns segregated into new counties .,T
border,N,6-1,The rug had a wide blue border .,The borders of the garden .,T
scavenge,V,1-1,Hyenas scavenge .,She scavenged the garbage cans for food .,F
manipulation,N,1-11,His manipulation of his friends was scandalous .,He found that the new manager was known for his Machiavellian manipulations in his last two positions .,T
flood,V,0-3,Flood the market with tennis shoes .,The swollen river flooded the village .,F
steam,V,1-7,Just steam the vegetables .,Her indifference to his amorous advances really steamed the young man .,F
foundation,N,3-2,He lacks the foundation necessary for advanced study .,"The Wikimedia Foundation , Inc. is the parent organization of the Wiktionary collaborative project .",F
twilight,N,9-3,I could just make out her face in the twilight .,He loved the twilight .,F
rank,N,7-4,The strike was supported by the union rank and file .,He rose from the ranks to become a colonel .,T
delight,N,5-1,The new car is a delight .,His delight to see her was obvious to all .,F
path,N,1-1,The path of virtue .,Our paths in life led us apart .,T
get,V,4-2,The operator could n't get Kobe because of the earthquake .,I 'll get this finished by lunchtime .,F
forwarding,N,1-1,The forwarding of resumes to the personnel department .,The forwarding of mail to a new address is done automatically .,T
fail,V,2-4,Did I fail the test ?,She studied hard but failed nevertheless .,T
dimple,N,4-4,The accident created a dimple in the hood of the car .,There are approximately 336 dimples on a golf ball .,T
pity,N,3-7,It 's a pity he could n't do it .,The blind are too often objects of pity .,F
rail,N,4-3,He was concerned with rail safety .,He traveled by rail .,T
preempt,V,6-6,Discussion of the emergency situation will preempt the lecture by the professor .,Live broadcast of the presidential debate preempts the regular news hour .,T
assumption,N,2-13,The Nazi assumption of power in 1934 .,He acquired all the company 's assets for ten million dollars and the assumption of the company 's debts .,T
brother,N,6-3,I would like to thank the brother who just spoke .,None of his brothers would betray him .,T
recruit,V,0-3,Recruit new soldiers .,The lab director recruited an able crew of assistants .,F
upset,V,1-3,Truman upset Dewey in the 1948 US presidential election .,The foreign team upset the local team .,T
show,N,1-2,A show of impatience .,A good show of looking interested .,T
fondler,N,8-2,The woman charged that her jailer was a fondler .,Not all fondlers are sexual perverts .,T
body,N,2-2,The whole body filed out of the auditorium .,The student body .,T
destroy,V,1-2,Hooligans destroy unprovoked .,The fire destroyed the house .,T
confusion,N,4-1,The army retreated in confusion .,A confusion of impressions .,F
stress,N,4-3,Some people put the stress on the first syllable of “ controversy ” ; others put it on the second .,The intensity of stress is expressed in units of force divided by units of area .,F
inject,V,0-5,Inject hydrogen into the balloon .,Now lie back while we inject you with the anesthetic .,F
custody,N,6-4,He was mistreated while in police custody .,He is in the custody of police .,T
gesture,N,2-1,A political gesture .,A gesture of defiance .,T
cleat,V,0-0,Cleat running shoes for better traction .,Cleat a line .,F
repair,V,4-1,One can never fully repair the suffering and losses of the Jews in the Third Reich .,She repaired her TV set .,F
fold,V,0-1,Fold up the newspaper .,Tony folded the flaps open .,T
piano,N,10-9,Most of the works by Frédéric Chopin are for the piano .,"He can play "" Happy Birthday "" on the piano .",T
decussate,V,2-2,The fibers decussate .,This nerve decussates the other .,T
grind,V,0-0,Grind lenses for glasses and cameras .,Grind an axe .,T
wail,V,0-1,Wail in self - pity .,She wailed with pain .,F
form,V,8-0,"By adding "" -ness "" , you can form a noun from an adjective .",Form cylinders from the dough .,F
pronunciation,N,4-1,That is the correct pronunciation .,The pronunciation of Chinese is difficult for foreigners .,T
criticism,N,4-7,The senator received severe criticism from his opponent .,The politician received a lot of public criticism for his controversial stance on the issue .,F
wrong,N,4-7,Injustice is a heinous wrong .,He feels that you are in the wrong .,T
fatigue,N,1-5,Growing fatigue was apparent from the decline in the execution of their athletic skills .,He was hospitalized for extreme fatigue .,T
cross,N,4-3,A mule is a cross between a horse and a donkey .,That is his cross to bear .,F
handle,V,2-4,Do n't handle the merchandise .,"About his altar , handling holy things - John Milton .",T
hail,V,0-2,Hail a cab .,He was hailed as a hero .,T
stabilize,V,3-2,The country will stabilize after the next election ends .,The economy stabilized .,T
expect,V,1-2,I expect to receive wages .,We were expecting a visit from our relatives .,T
shower,N,7-2,The game was interrupted by a brief shower .,A little shower of rose petals .,F
promulgation,N,1-1,The promulgation was written in English .,His promulgation of the policy proved to be premature .,F
hostility,N,5-6,He could not conceal his hostility .,He could no longer contain his hostility .,F
clap,V,4-3,The children began to clap in time with the music .,The big bird clapped its wings .,F
clime,N,4-12,Plants from a cold clime travel best in winter .,"After working hard all of his life , Max retired to warmer climes in Florida .",T
deal,N,1-3,A deal of trouble .,He made a deal with the devil .,F
listen,V,1-3,Please listen carefully as I explain .,I like to listen to music .,T
party,N,1-3,The party of the first part .,He planned a party to celebrate Bastille Day .,F
section,N,10-4,The history of this work is discussed in the next section .,A graduate student taught sections for the professor 's lecture course .,F
conserve,V,0-2,Conserve your energy for the ascent to the summit .,Mom always conserved the strawberries we grew in the backyard .,F
joy,N,1-1,A joy to behold .,The joys and demands of parenthood .,F
create,V,0-0,Create a poem .,Create one a peer .,F
surface,N,10-11,It was not what it appeared to be on the surface .,The cloth had a pattern of red dots on a white surface .,F
setting,N,2-3,A place setting of sterling flatware .,He changed the setting on the thermostat .,F
bane,N,1-1,The bane of my existence .,The bane of my life .,T
license,N,2-3,The intolerable license with which the newspapers break ... the rules of decorum - Edmund Burke .,When liberty becomes license dictatorship is near - Will Durant .,T
bend,V,4-0,The stick does not bend .,Bend your knees .,F
act,V,3-2,"She wants to act Lady Macbeth , but she is too young for the role .",I started acting at the age of eleven in my local theatre .,T
worship,V,1-2,They worship in the traditional manner .,Many Hindus worship Shiva .,F
minute,N,2-4,"Wait a minute , I 'm not ready yet !",It only takes a minute .,T
glow,N,1-1,A glow of regret .,The glow of new love .,T
prohibition,N,5-9,They were restrained by a prohibition in their charter .,In 1920 the 18th amendment to the Constitution established prohibition in the US .,F
near,V,2-2,They are nearing the coast .,The ship nears the land .,T
distance,N,6-1,I could see it in the distance .,The distance from New York to Chicago .,F
strand,N,1-6,A strand of pearls .,He tried to pick up the strands of his former life .,F
activity,N,3-3,The level of activity declines with age .,His sphere of activity .,F
delay,N,6-1,Instant replay caused too long a delay .,The delay before the echo of a sound .,F
dip,V,0-1,Dip the brush into the paint .,She dipped her knee .,F
bye,N,3-5,He had a bye in the first round .,Craig 's Crew plays the bye next week .,T
subsidy,N,1-6,A subsidy for research in artificial intelligence .,Manufacturing firms are supported by government subsidies in some countries .,T
fuel,V,0-0,"Fuel aircraft , ships , and cars .",Fuel the debate on creationism .,F
club,N,1-7,Each club played six home games with teams in its own division .,He played the drums at a jazz club .,F
longevity,N,2-1,Had unusual longevity in the company .,Her longevity as a star .,T
appreciate,V,1-2,I appreciate your efforts .,The yen appreciated again !,F
preponderance,N,1-1,The preponderance of good over evil .,The preponderance of wealth and power .,T
youth,N,0-1,Youth everywhere rises in revolt .,Her youth and beauty is what attracted him to her .,F
probity,N,5-6,In a world where financial probity may not be widespread .,He enjoys an exaggerated reputation for probity .,T
explanation,N,1-1,The explanation was very simple .,The explanation was long and drawn - out .,T
inject,V,0-1,Inject heroin .,He injected new life into the performance .,F
force,N,1-2,A force out was recorded on the scorecard .,A public force is necessary to give security to the rights of citizens .,F
preserve,V,0-1,Preserve the peace in the family .,To preserve silence .,T
restraint,N,7-6,The room was simply decorated with great restraint .,The car did not have proper restraints fitted .,F
log,N,3-2,They kept a log of all transmission by the radio station .,An email log .,T
cost,V,2-3,These shoes cost $ 100 .,The bill will cost them 500 million dollars .,T
professionalization,N,1-1,The professionalization of warfare .,The professionalization of American sports .,T
pocket,V,7-1,Lydia put the change in her left pocket .,Lydia pocketed the change .,T
stab,N,3-3,He took a stab at forecasting .,She felt a stab of excitement .,F
roll,N,1-3,The roll of a ball .,Look at the roll of the waves .,T
property,N,5-4,He is a man of property .,That hat is my property .,T
success,N,1-5,His success in the marathon was unexpected .,The election was a remarkable success for the Whigs .,F
sexualize,V,2-3,Some languages sexualize all nouns and do not have a neuter gender .,The god was sexualized and married to another god .,T
wish,N,4-4,It was his last wish .,They should respect the wishes of the people .,T
sultriness,N,1-1,The sultriness of her look was unmistakable .,The sultriness of lust was in the air .,T
crisis,N,6-2,They went bankrupt during the economic crisis .,After the crisis the patient either dies or gets better .,F
reality,N,1-1,The reality of his situation slowly dawned on him .,The reality of the crash scene on TV dawned upon him only when he saw the victim was no actor but his friend .,T
defense,N,4-5,They died in the defense of Stalingrad .,They were developed for the defense program .,T
forbid,V,1-2,I forbid you to call me late at night .,The rules forbid it .,T
update,V,3-1,I need to update my records to take account of the most recent transaction .,We updated the kitchen in the old house .,T
sound,N,5-6,The main body of the sound ran parallel to the coast .,He strained to hear the faint sounds .,F
system,N,5-6,That language has a complex system for indicating gender .,They have to operate under a system they oppose .,T
easiness,N,2-3,The very easiness of the deed held her back .,There was an easiness between them .,F
mire,V,1-5,To mire a horse or wagon .,Our people should not be mired in the past .,F
spend,V,0-1,Spend money .,He spends far more on gambling than he does on living proper .,T
reverence,N,6-2,The French treat food with gentle reverence .,The Chinese reverence for the dead .,T
buy,V,5-2,$ 50 wo n't even buy a dress .,FMC has bought 565 .,T
instruction,N,2-0,Students receive instruction in the arts and sciences .,Instruction will be provided on how to handle difficult customers .,T
extension,N,7-1,The dancer was praised for her uncanny extension .,Good extension comes from a combination of training and native ability .,T
believe,V,3-1,We did n't believe his stories from the War .,I believed his report .,T
heritage,N,3-1,The world 's heritage of knowledge .,A heritage of freedom .,F
caller,N,4-4,- Who 's the caller ?,There were so many callers that he finally disconnected the telephone .,T
base,N,9-0,He told the painter that he wanted a yellow base with just a hint of green .,Bases include oxides and hydroxides of metals and ammonia .,F
power,N,5-6,He needed a lot of power to hit the ball out of the stadium .,The mysterious presence of an evil power .,F
portmanteau,N,8-5,` brunch ' is a well - known portmanteau .,` motel ' is a portmanteau word made by combining ` motor ' and ` hotel ' .,T
promise,V,1-1,I promise you my best effort .,I promised somebody my time .,T
pierce,V,1-2,To pierce a mystery .,The path pierced the jungle .,F
