original_sentence,polite
user: You have been accused of sockpuppetry at <url>.  Scared?,F
"user: If you're going to accuse me of operating in bad faith, then the discussion has become inappropriately personal.  On what grounds do you make such an implication?",F
"user: Yes, and there has been a user from an AOL IP who has been trolling Pilotguy for weeks. Why must you blindly disagree with everything anyone says to you?",F
"user: May I ask why you removed <url> from the article on <url>?  Since CAP is the USAF's official auxiliary, wouldn't it make sense for the CAP article to be in the USAF category?",F
"user: Makes me wanna ask, what do you say about having separate articles like Wikipedia has <url> and <url> or <url> and <url>? Should this be tolerated for non-Transformers stuff?",F
user: I have some made some improvements to the articles you references on the above user's talk page. Perhaps next time you would bring your concerns directly to '''me'''?,F
"user: The text of your warning <url> made me smile. Did you really think that if China got a new Prime Minister as of today, and a female one at that, it wouldn't be all over the news, and the link to this person would be red?",F
"user: Dana, before I give the examples of what sections or parts in the article that needs fixing, I need to know if <url> is still gonna work on the problems. Do you get me?",F
"user: I have no need to search the interwebs, all that matters is it offends people and is a violation of NPOV and MoS. ""All Wikipedia articles and other encyclopedic content must be written from a neutral point of view (NPOV), representing fairly and without bias all significant views (that have been published by reliable sources)"" - ess-eff is a bias term for a minority group of fans, put it this way: is there an SF-channel, or how often is the clichxe9 ess-eff used outside fan-groups?",F
"user: (after multipled edit conflicts)I checked your behaviour and your contributions myself at the time, as did numerous other admins who reviewed your edits and the block and it was subject of extensive discussion on and off-site so your suggestion that I should have checked with others is silly. You violated Wikipedia's policies and were blocked rightly for it; you've been given a second chance and instead of being productive you come here to moan about a comment I made more than six months ago, that I still stand by, and to pursue your now year-old vendetta against Nick?",F
user: you have been following me around all week reverting my edits.  what did i do to you?,F
"user: I pretty much agree with <url>, except I would like to know why you modified the see also section to be a hatnote. Doesn't <url> have specific requirements for this?",F
"user: I kind of agree.  Are you planning on actually editing Wikipedia, or is your whole purpose here to promote this ... study (or whatever it is)?",F
"user: Hey, if you want to assert that a cite does not say what it clearly does say, how about actually coming to the discussion page to discuss it, rather than treating edit summaries like a discussion space?  Why the hell am I the one being accused of edit warring, when I'm the only one actually willing to talk on the discussion page?",F
"user: What is unreliable about the newspaper article reports about the protests in Meliti, Lofi, etc? Are you alleging that the protests against the Greek military did not occur?",F
"user: So do I, because, inspite of my 100s of friends and supporters, I'm feeling a little beleaguered and lonely here. If I can hang on in here, can't you at least keep me company?",F
user: The only way I have a naval website is that I am one of the people actively working to make sure Wikipedia has good coverage of naval topics here. Which website do you think I run?,F
"user: I see that you closed that CfD discussion as rename, but haven't actually renamed the categories. What's up with that?",F
"user: How about Guant who plays Pansy? Or Richard Fish who played Bill Weasley, and the actor who played Charlie Weasley in POA?",F
"user: And DAB uses a very foul language, persistently, is that right? Did I not talk to you about that already?",F
user: I'm sorry but looking back on that edit I won't stand for that. Don't you think that actually removing the edit summary was a bit... well... let's say 'abusing sysop powers'?,F
user: I was not trying to sound rude earlier. Haunted Angel which of my seven reasons had you decided were evidence of his sock puppetry?,F
"user: One question - how come the page is marked as ""in dispute""?  The data that is currently posted isn't in dispute, correct?",F
user: Please answer Bishonen question to you. When were you invited to comment on UC related subjects?,F
user: Further: it seems to me that <url> was a perfectly reasonable dab page. I wonder why you needed to change it?,F
"user: Email from the Darkshado guy complaining about you adding him to the spamlist. I searched the site and couldn't find any of our articles replicated there; has he removed them, or what?",F
"user: I'm sure. How about we let the sockpuppet investigation let us know for certain, m'kay?",F
user: COI? What COI do you think I have?,F
user: and so is the new Portishead. Did I mention the Knife?,F
"user: I've noticed that you're engaged in several edit wars, with Meliniki, regarding minor alterations to multiple Greek language articles. Perhaps you should consider discussing the changes on Meliniki's <url> instead?",F
user: Are you really denying that you brought Giano and Bishonen's names into this? Seriously?,F
"user: ED... They have drugs to fix that now, don't they?",F
"user: Eh? No, those facts were correct, why do you think they were not?",F
"user: What do you mean by ""one edit war away""? And whats a siteban?",F
"user: Concerning <url>, I must say I am a bit confused: isn't the article's title ""Austria<span style=""color:red"">u2013</span>Hungary"" (where, incidentally, it was moved after an ""Austria<span style=""color:red"">-</span>Hungary"" period)? It's really no big deal, but how can something be both correct and incorrect, and which standard are we at long last supposed to follow?",F
"user: Well, now you've got me puzzled. If you think he's a sneaky vandal, why did you revert my reversion of his numerical change?",F
"user: Why can't you just remove the offending phase and repost your comment?  This resolves the situation, does it not?",F
"user: Alright, the NPOV template is even worse, since it specifically points people to a talk page discussion which does not exist. Why are you adding these templates?",F
user: On the third reading... Why not include an edit summary that tells me this? Why not revert my revert?,F
"user: Your obfuscation of the real issue is disengenuous; I'm rapidly losing respect for you. Is it not Wikipedia's mission to scornfully snub vandalism, which is done instantly, agressively, mercilessly?",F
"user: What part of ""use common sense"" did not get through to you? Was it the ""use,"" the ""common,"" the ""sense,"" or some combination thereafter?",F
user: Can I ask: was this really the implication that you intended in making this change?  And do you really think the RfC expressed consensus support for such a position?,F
user: No kidding.  Perhaps you could be troubled to point out the parts you consider to be actionable as 'spam'?,F
user: Such as the redundant link to ''Roe v. Wade''? Not an improvement?,F
"user: SPI is not for just simple yes no answers. Why did you not warn the Minneapolis IP, they are warring as much as Bb23?",F
"user: It's placed outside of the article body, not ""randomly put in the code"". Why such shuffling is a ""proper CHECKWIKKI task"" and why does it warrant saving an edit?",F
"user: You may not remember doing this but, you erased a page entitled, Earl Newton.  Why did you do it?",F
"user: The policy is quite clear; userids set up for the purposes of harassment or vandalism are blocked indefinitely.  That said, what policy is it that you think I'm not following?",F
"user: If someone is an immigrant and not legally documented, that someone is an illegal immigrant.  How can such a rally be anything but pro-illegal-immigration?",F
"user: This is what you wrote: ""In the book 'Inventing Elliot' written by Graham Gardener, the book, 1948 is mentioned numerous times."" What book, 1948??",F
user: If you completely disagree then why havn't you required references on other airport pages??,F
user: So how come he can have all types of slandereous links on his wiki page? Don't you think being an admin you should delete them?,F
user: Why is your AWB robot changing '''&amp;Oslash;''' to the letter '''xd8'''? I asked you if all computers in the World are set up to read &Oslash; ?,F
"user: Yeeesh. Is it just me, or is it very difficult to follow these ""stream of consciousness"" postings?",F
user: What City in Connecticut do you live in? And have you been to the north as your name suggests?,F
"user: Evidently, I don't have enough consciousness, because I haven't the foggiest idea of what you're talking about. Could you tell me?",F
"user: I don't think I've used it in Wikipedia.  So, if I haven't, why did you bring it up?",F
"user: Im interested in where you got the information you added stating woodlands house was closed in 2003. As far as i can see your wording was taken from one website, the milesfaster one. Should you not cite the website you quoted rather than look for a couple of others?",F
user: Why would one want to re-create GNAA??,F
user: Hi. With only a little over one day remaiming and <url> not editing and not contributing to the case as yet are there to be any known deviations from the standard procedure?,F
user: Eight more articles semi-protected. How many of these damned T & J articles are there?,F
user: I couldn't tell you why glam rock was there. Better?,F
"user: Ack, hit the wrong button?  How do you manage that?",F
user: How can people edit them if it just redirects? Did you think about that?,F
"user: I'm wondering why in the <url> article, you keep changing the link <url> to <url> which just redirects to <url>?  Why not just leave the link to point to the intended article directy?",F
user: Why isn't <url> included there? Is it possible there's a redirect in it's place?,F
"user: I saw you removed the copyright CSD from Universum University as being ""unclear copyright status"".  What am I missing?",F
user: See <url>. I assume you didn't mean <url> ?,F
user: Um... the Kent roast? Tentrake host?,F
user: Personal attacks and refusing to answer questions. What are you hiding?,F
"user: Hi, sorry I think I'm missing something here. Why are you adding a red link to the vandalism page?",F
user: I don't understand why did you add that message at the bottom of this page??,F
"user: Third: it's August 31 2010. Please check my userpage for reasons why I really don't feel useful today. Ask another admin, okay?",F
"user: I really would rather use, in English, the one expression ""<url>"" instead of ""<url>,"" ""marz,"" ""<url>,"" ""khaet,"" ""<url>,"" ""eparchia,"" ""ostan,"" ""khoueng,"" ""faritany,"" ""aimag,"" ""tinh""u2014or ""<url>"" (aka ""<url>"").  <url> then why should ""<url>"" not be also?",F
"user: I'm not sure how I feel about you adding coordinates to locations all over the place, but rather than get into that, let's start with something easy: ""<url>"" does not equal ""<url>"". Do you need me to explain why, or was that just a typo?",F
"user: Right, so the links on your userpage? And what is the ""article"" you want me to check over?",F
"user: Well it looked as though it had stopped, certainly tapered off for a few days but now some bloody wanker has started adding it again. I don't suppose you know how to get a page protected, I've never had to do it before?",F
"user: Fair enough on the general murder victims. But Kriss Donald was British, was he not?",F
user: Why do you ask me questions to which you already know the answers? Is it a rhetorical device?,F
"user: In case you didn't realize, one of the first things they states on that article was that if the information on a main or major character becomes long, then it warrants its own article. So, if that the case, then why did you merge <url>, since his article is long and he is the main character on <url>?",F
"user: So, let me make sure I understand this. You think that, if we remove an image as it does not meet the NFCC, you would then be able to upload the same image, only this time, it would meet the NFCC?",F
"user: Ah well, if you are going to have such a bizarre flight of fancy as far as to calling it an attack page then perhaps I will remove it. Maybe you should also look at how you interact with others?",F
"user: Actually, I am concerned that you had completely removed verifiable facts of which I had included the references.  Would you please explain why you had removed the entire section I wrote on Collection Agencies in Canada?",F
"user: ''Don't'' talk ''about'' me, in my virtual presence, and tell someone else to ignore me. Do you understand why this behavior is inappropriate?",F
user: Drat forgot to sign.  You blanked my talk page and asked if I don't like K's?,F
"user: Having said that, I don't want to drive anyone away just because they can't write well. The question is, where do you begin?",F
"user: Just FYI, I have decided to be <url> and remove the screenshot at the top of the article.  There is already a link to a mirror of goatse.cx in external links, so why force readers to look at that?",F
user: Your early edit's clearly indicate that you were not a newbie. How do explain this?,F
user: Links to attack sites and so are not allowed. You must know that you violated BLP?,F
"user: Thanks; I expected a decline, despite my extensive comments at <url>. As there is nothing more to this article than listings of bylines in non-notable publications, minor book acknowledgments, uncredited movie extra roles, blog comments, paid directory listings, and unsubstantiated claims about wildly over-the-top PR accomplishments, what exactly do you consider to be the examples of ""credible notability""?",F
user: Because Wikipedia is an encylopaedia not a free advertising and self promotion venue. Why do you keep abusing it?,F
"user: Unfortunately I think <url> may also add that material; I am not familiar with Citizendum, though, but I will look at it. If Citizendum has the same policies regarding primary, secondary, and tertiary sources, then why not criticize both Wikipedia and Citizendum?",F
"user: Please explain why you continue to <url> <url> <url> over the folk magic/Christian revivalist wording in the lede despite the clear consensus against you.  You have not gained any favorable comments for your position in the RFC (which in fact is about the treasure seeking sentence you want to add and not about rewording or removing the existing sentence), so on what basis do you claim preeminence for your preferred wording, or for removing the sentences completely?",F
"user: The flag ""visible=yes"" means a comment on the page is made visible, not that the page is visible in search engines. Why did you remove flag?",F
user: Just move <url> to <url>. And shouldn't the clean-up parameter be added to <url> also to make it work?,F
"user: Umm... isn't the template page itself semi-protected? If so, then shouldn't it be in the category?",F
"user: Wait a minute! I've done plenty of good edits, where did they all go?",F
user: Sorry Less? What is that last postdirected at?,F
user: How many times do I have to revert you before you stop? Do you want to get blocked?,F
user: Based on what? Don't you think a little discussion is in order before doing this?,F
"user: I advance (Ultra-Orthodox) Rabbi Dr Mordechai Halperin, (Ultra-Orthodox), Rabbi Gershon Winkler, (Conservative) Rabbi Elliot Dorff, to you, for example, that the Torah and Talmud only forbids anal sex. Now explain exactly what division of Judaism is left, for you to claim your view fairly represents?",F
"user: You reverted my removal of the ""to critical acclaim"" description from this article. I cannot see where in <url> there is a basis for that claim -  it looks like a neutral factual review to me?",F
"user: Maybe others haven't noticed - or are too busy.  If you are thinking what I'm thinking, why am I reverting so many of your edits?",F
user: When you deleted <url> did you accidentally overlook the <person> template? Or do you have some reason for ignoring it?,F
"user: I do not, nor have I ever used other accounts on Wikipedia. Didn't you ask me this before?",F
"user: One more thing, you have a fellow Budgie insisting a losing appearance in an FA Cup semi is an ""Honour"" for your club.  I guess it's because you haven't won much lately, but really, a losing semi-finalist isn't an honour in the real sense of the word, is it?",F
user: I see you created a nonsense article yesterday because you were bored. If I unblock you will you disrupt more?,F
user: I don't see any of that in his deletion log.  Would you please find out which one it was as evidence so you're not blindly accusing an admin of deleting something they didn't delete?,F
"user: I know, I looked it up and fixed the article, but it was annoying that you just changed one small thing making the page contradict itself. What's the use changing it if the reader will have no idea what's going on?",F
"user: So your argument is that as long as you follow the ""rules,"" nothing else should matter? That if it's legal it's OK?",F
"user: As a side note, I'm slightly amused that on the one hand, you caution me not to ""encourage"" the penguieater troll, explicitly striking out the ""mocking"" part, but then in the same breath you sign the finding that cites those same penguin diffs as evidence of terrible insults and intimidation. Slightly inconsistent, perhaps?",F
user: OK done. When do I get my money?,F
"user: The article is not about this, at all. Could you explain your logic?",F
user: In this <url> there was a loss of some info.  Was that intentional?,F
user: Your new images of Micheal Knight and Devon look kinda squashed. Can you fix them or find better ones to replace them?,F
user: I'm curious as to why you chose to <url> a full two minutes after my last comment?  Am I to take this as a sign you are no longer willing to discuss the issue?,F
user: I believe supserstition exists.  Why did you ask me?,F
"user: Comply with what your talk page says, get off and study!!!! Have you willpower?",F
user: I thought that only section tags go into sections while the article tags go to the top of the page so they could serve it's purpose. Is there a Wikipedia guideline that can substantiate your revert?,F
user: Denied. I take it then that you deny responsiblity for an account (which I'll not name here) created just four minutes after you made that edit?,F
user: (S)he seems to have violated the spirit of 3RR <url>. How do we deal with this guy?,F
user: I see that you are becoming a little bit paranoid. Do i need to do a check user for you ?,F
"user: Self-follow-up: Also, while sometimes the status quo should be maintained, by supporting it in this case, you're also supporting a ""revert-first, ask questions later"" approach to dealing with good faith edits. Is that really what you want?",F
user: What page is this? Why was it deleted?,F
"user: Just to let you know, there's a <url> now. I don't know, is this mimicry allowed on Wikipedia?",F
user: Where did you learn English? How come you're taking on a third language?,F
user: PS - surprised you didn't make the annoucement in your blog.  Trying to fool your hordes of devoted readers?,F
"user: Wow, you waited a whole ten minutes. What's the problem?",F
user: Why on earth have you deleted the article on the <url>?  Can you please undelete it?,F
"user: Since your last warning to BigBang19, he's continued to vandalize the ''Punk'd'' article, undoing the grammatical corrections I made some time ago, and inserting irrelevant, non-noteworthy material about Kuthcer's observence of Jewish holidays and his marriage to Demi Moore.  Can someone block this person for a period of more than just 24 hours so that he gets the message?",F
user: I asked it before but I'm asking it again: Was it a Basque state? Can we say that?,F
"user: Unless you provide a wikipedia article, with solid references od proof of notability of the term, I am going to delist it. I ave no doubts that there was a dilike of Portugals (like any other major nation), but was this word in notable circulation?",F
"user: Actually, I counted 2 sets of <url>.  Can he be blocked for 48 hours?",F
user: Oh and you seem to have deleted half of the stuff on <url> ... I presume this was a mistake?,F
"user: And if you use Coulson you would probably have to say ""According to Coulson..."". Have you read <url> yet?",F
"user: Since I have not been able to get an answer to this on the project page, let me ask you directly: Did you receive Durova's ""secret evidence"" prior to the blocking of <url>?",F
"user: BTW, I'm amazed that he has the gumption to show his mug after <url>. And do you have the balls (metaphorically or otherwise) to place a hatnote above his article linking to that term?",F
user: You see how time consuming and annoying it is when a person keeps on telling you to provide a source. Why do you want ''Michael'' to be just another compilation album?,F
"user: You're right, but loosing it because of Devanampriya, of all users, would be quite a shame for Wikipedia. Don't we have to make a stand against ignorance, partisan POV-pushing and constant incivility?",F
"user: I will say this, though, in the form of a suggestion: it makes me a bit uneasy to see you so involved and sometimes argumentative in your nomination. Why not step back and let the community do its thing?",F
user: What for did you analyse the two ArbCom cases Piotrus-Ghirla and Eastern European dispute? Was that suggested to you by Sciurinxe6 during your off-wiki discussions for 20 days?,F
"user: Reading your help desk comment, I'm totally confused now. Was it 2005 or 2006?",F
"user: Now I'm confused--did I miss something? Who was talking about G1, and who was talking about IP blocks?",F
"user: Isn't this section ""Vatican Responses""? How come the wordings are not fact-based but seem to have devolved into media perceptions of the Vatican responses?",F
"user: No, I have not read it, as it is of no interest to me or this encyclopedia. Are you claiming that the references make the blog post a reliable source, or why are we still discussing this?",F
user: Could you please clarify who the new users were exactly that you considered to be part of your 'sock farm'?  Or did you not even bother to research before making such claims?,F
user: You said other sources supported the info in the infobox yet you did not indicate what sources. And why can't we use a primary source for his birth date?,F
"user: Hi. The original link (http://www.lgso.org.uk/index.htm) gives a 404 error, but the amended URL (http://www.lgso.org.uk/) works for me, so why do you say it's still dead?",F
"user: Let me know what you'd like me to do. Are you/anyone thinking of copying over the temporary copy wholesale or in parts; destroying the edit history of either, both or neither..?",F
"user: Yesterday you undid an edit of mine (on the <url> article). What did you mean by ""a COI link""?",F
"user: Well, look again! Does ''<url>'' look like a dictionary-definition page to you?",F
"user: Hey, can you block this moron from editing the IIHF Page? Or what can i do in such cases?",F
user: I replied to you <url> but you didn't answer. Did you not see it?,F
"user: I certainly think more things should be deleted from enwiki, but TheCommunity(tm) is fickle. Are you complaining about something ''I'' did?",F
"user: SudoGhost, just a question. Do you think that simply calling someone's edits disruptive is very specific?",F
"user: And I guess with exception of 7 countries that recognize same-sex marriage, everybody else would end up in ""homophobia"" category. Or what would be the threshold?",F
user: Wassat? LeaveVissToYou?,F
"user: I thought that, when some informations are mentioned about in ''desperate housewives'', it is a reliable source? So, in your way of thinking, Susan Mayer maiden name is not Bremmer or something like that?",F
user: You also seem somedeal similar to <url>. Not logging in is not sockpuppetry but do you acknowledge that User:64.194.44.220 is you?,F
"user: OK, I'll bite. How is ''Matt ""Dirty"" Sanchez'' to be construed as anything other than a personal attack?",F
user: Depends; do you care deeply about image policy? Or are you an incurable masochist?,F
"user: Thanks, but I believe I've covered the sustance. Could you also get Beeblebrox to strike the ""Mr"" insult, unless he was doing it deliberately?",F
"user: What's your issue with noting the copyright registration date for this piece?  Also, could you point me to the consensus you mentioned?",F
user: This is irritating. What browser are you using?,F
user: How can you possibly know that? Have you tried to find additional content and failed to find it?,F
user: Are you saying you have never edited as anything else? What brought you to that particular article?,F
"user: On an unrelated note, the bot is listing arbitrary breaks in AfDs as separate open AfDs.  Any way to prevent that from happening?",T
user: I don't know of any such tools. Have you tried posting your concerns to <url>?,T
user: Well I came to the same conclusion as Rpyle731. Perhaps a trip to the talk page is in order?,T
user: Who deleted it? Would I be violating due process if I undeleted it?,T
user: But that doesn't follow <url>.  Perhaps you can discuss the idea there?,T
user: The Olbermann thing is being discussed on the <url> talk page.  Do you have anything to add?,T
"user: The Radical Afrocentric Historiography article is now redirecting to Afrocentrism, on the basis it seems that its a subsection of Afrocentrism. Where else would like me to put it?",T
"user: Perhaps an essay could clarify this? ""Be Assertive, not Aggressive"", or ""Act like a Professional""?",T
"user: Thanks for your reply. You are, I take it, aware that you can be blocked for disruptive editing?",T
"user: Also, what's the point on being adopted by another user? It sounds good and I'd like to be adopted, though I'd don't exactly know what I or the adopter would get out of it?",T
"user: Hi again!  Per your <url>, I'll leave questions here, which actually leads me to a question, hehe;  why would you want users to bring RfA discussion to your talk page rather than keeping it in a centralised viewable location on the RfA page where users are encouraged to submit questions for optional response by the candidate?",T
"user: Hi, I see from your post at the reference desk, which I saw from your post at <url>, about times for locating wreckage (by the way, I posted a list of biggies I could find record of that have never been found) that you have read the above article. I have recently started converting some stuff ther that was still in present tense to past tense, in preparation for a push towards the article becomming our first air disaster FA (not counting ''<url>'', of course) and was wondering: as someone who knew nothing about the crash before, and has just read the article, do you think it's possible?",T
user: You're obviously an experienced editor.  Am I correct that this is not your first (or only) user name?,T
"user: Looking at Kotorkid's contributions on <url>, three hours seems too short for a block.  Considering that their three and only edits were all vandalism, would you support an indef-block for vandalism-only account for them?",T
"user: I suppose that there is nothing to be done about it, but Jamesd1 just buried a direct question to him, about compromise, under a long discussion about Alice Bailey's supposed religious views  (Bailey was not a Christian) that belong on a Bailey discussion forum, not on this article's talk page. Does not Wikipedia have some way to resolve editing situations in which editors refuse to compromise and end the arguing?",T
user: I would like to create a few plots. Where can I access the geologic temperature record raw data?,T
"user: <person>, with whom you discussed linkspam in 2006, has returned. Could you offer your views on his talkpage?",T
user: I used <url> as precedence. Thoughts?,T
user: I have done every thing you have asked and I have attempted to gain a better understanding of how to do this in the future. Please tell me exactly what I can do to prove my ownership?,T
"user: That sounds like they are just ""general use"" of the word, so in each article delink and (if needed) explain that, in this context, diaphragm means a divider - or just rewrite without the word diaphragm, or use a link to wiktionary. In fact, should linking to wiktionary be a standard way to clear up some of the links to dab pages?",T
"user: Despite our long-standing disagreement, I have no argument with you <url>. However, can I suggest you use a less opaque edit summary than  ''added info'' when doing something that is nonetheless controversial?",T
user: My request to move the Jotated A (Cyrillic) article to A iotified has generated a bit of <url>.  I wondered if you wanted to express an opinion?,T
"user: Ok, why was it wrong??",T
"user: One last thing, I noticed that Astro's gender is given as male. Is this erroneously placed?",T
"user: While you are absolutely free to vote however you choose, FAC requires you lodge actionable objections and your objection as it stands right now is quite vague. Could you please specify it so I can take action and possibly reverse your vote?",T
"user: Lol, yes, simply! I would have no objection to something like this ""According to "".... Records"" the song was sent to mainstream radio as the official third single in may."" OR something?",T
"user: I guess I must have misunderstood, sorry for that. Exactly what do you mean by having my promise to not use the tools for a year enforced by a bureaucrat?",T
user: My contribution tried to show the impression to others I'am only trying to improve spelling. What's the difference between personel and persona?,T
user: You say; ''I don't preview TfD before I close it each day.''  How do you then determine consensus?,T
user: I have also used WP:RM for Norway attacks. Which one would be faster?,T
user: It's archived onto CD; I'll have to search it out. Suggestion on what you'd like to see in the way of resolution?,T
user: I tried searching for that link in the section that I was editing and it wasn't there I didn't edit from the top but just from the section. Does the filter only look inside the section or is it based on the whole talk page?,T
user: Can we ask people to comment at the FAC? Like i did when i nominated her discography?,T
"user: Thanks for starting my page for me, that was very sweet of you. ^_^ But is editing my user page the same thing as editing a gaming article?",T
"user: I spotted a comment you made at the Help Desk discussion page: ""I'm in the process of sweeping Wikipedia of links to all its question answering departments, and replacing them with a single link in each location to route all questions traffic through an upgraded Wikipedia:Questions page."" Do you mind me asking how you ""sweep"" Wikipedia of all those links? How do you find them all?",T
"user: Unfortunately, on the topic you have chosen, the excellence of what you are doing is far from the only issue. Are you producing an excellent article of a kind that should not actually be in Wikipedia but in some other more specialized project?",T
"user: When you say ""thrown off"" articles which tend to be in math, the sciences, IT, etc., do you mean making them inaccurate? Or do you mean they were helpful in creating them?",T
"user: I read the article and can see where it already addresses some of his reliabilty issues. I guess that as long as it was clear that the quotes were from his autobiography and if any other info on the lack of collaboration (from the intro or foreword of the new edition of his autobiography) were included, I think it would be OK. Is there a lot of material to add that is only in his autobiography?",T
"user: Your block of the <url> article came immediately after three edits that blanked sourced content without any explanation. These edits were unrelated to the edit war that got the article blocked, so could you please to restore the content?",T
"user: I'm serious, I just don't want a mistake to happen to another person that happened to my friend.  By the way, does he violate <url>?",T
"user: If it works consistently, a printonly abbreviation would make sense. But how many editors would actually see that form to catch problems should they arise?",T
"user: I believe in previous versions of the article, the title of that section was ""Left-libertarianism in political philosophy"".  If it were changed back to something like that and moved to the top, would that be satisfactory?",T
"user: Hi, we worked on a few Australian-related articles together. May be you want to make a look on my <url>?",T
"user: Should I move it myself, or would you like me to walk you thru it? Have you read <url>?",T
"user: Regarding <person>, you've made this a Beta - In Use template since January. Is there any hope of making it live at some point in the near future?",T
user: http://www.youtube.com/watch?v=l9lk0B1p3k0 Yamaguchi Japan -Candidate Site for the <url>. Time for an article?,T
"user: I have it now; it lists 22 Members, seven officers and a large number of sons of Members. Do you think we could run to a new article, say <url>?",T
user: So I take it you live in Perth? Have you ever been to Virginia?,T
user: I see you don't edit the heats from morning session. Will you be here for the finals ?,T
"user: While I looked there, it had a nice little message at the top saying ""To report persistent vandalism or spamming, see WP:AIV"" And this definitely looked like persistent vandalism. Should that comment on <url> be updated then?",T
"user: Given what I see there, Finlay, I would argue that Marnanel's work is derivative, and that nohat's only request for derivative works is that they be released under the GFDL, which it's my understanding that Marnanel's work is.  Is there a section I'm misreading?",T
"user: Hi, I saw you protected <url> (<url>, <url>, <url>). In light of their signing to <url>, their <url>, <url>, and <url> <url> <url>, would you mind unprotecting it so I can give it a better treatment?",T
user: What do you think?  Worthwhile or not?,T
"user: I thought that VAMOS section was dealing primarily with captions (perhaps a clearer wording is needed there?). Also, I have seen dates used as adjectives quite often - the ""1848 Revolution"", for example - where did you read about this rule?",T
"user: Ok, I'd agree about <url> being better. Should I delete the other one (you could also tag it for speedy deletion as a mistake)?",T
user: I'll have a look (probably just for copyediting duties) once Zag has finished the larger changes. Keep me posted?,T
"user: Soo... I should merge and rewrite, right?",T
"user: You were asking for a source for the <url> mention of the <url> service to Lagos from March 29th, which you reverted.  Would <url> do?",T
"user: Hey, did you ever read over the material I laid out for you - content as well as ideas for organization of an article?  Any feedback?",T
"user: But someone actually remade the article here, http://en.wikipedia.org/wiki/User:DOSGuy/Joe_Siegler it's a subset of someone's user profile, but they are essentially circumventing a deleted article. Is this against wikipedia policy?",T
"user: that's all it said on the description of the object, I myself do not know as well what the museum means with ""old"". Maybe it came from the theater from a previous renovation?",T
"user: I create <url>, and then I would click ""Move"" on the top of the page I want to merge (for example <url>? Is that how you do it?",T
"user: Rklawton, I apologize for persisting, but criterion 8 of <url> says that a band must be the ""most prominent of the LOCAL scene of a city"" to be notable enough to justify a page, and Finish Ticket is demonstrably the most prominent band of the local San Francisco scene. Why is that not sufficient?",T
"user: It turns out that the Zelda Collection you referred to in <url> didn't include aLttP, reportedly because the GBA remake was still being sold at that time, so that disc included NES and N64 emulation but left out SNES. Do you have another example?",T
user: |} Thanks for the contribution. Halloween DYK?,T
"user: I created these articles. So what your saying is that when I finish the bigger article, redirect these articles to the big one?",T
"user: I just reverted your edits to the <url> page, because you seemed to make a number of major changes without providing an explanation for them, except the word 'Infobox' in your edit summary. Can you provide any references for the changes?",T
user: Oh dear. Does that mean it's too difficult a read for Wiki?,T
"user: I seem to be doing something wrong moving pages to wiktionary, because when I complete a move to <url>, it just stays there as though there were nothing ""special"" about that move target. What am I doing wrong?",T
"user: I might have just done a wrong revert on this art - what do you think?  Small cf Singapores  Changi maybe - but, ...?",T
user: Mmm its a little difficult to see on the new one. How about the one on the right?,T
user: <url>. I wonder if anyone will actually suspect a conflict of interest?,T
user: <url> is a bit of a stretch. Do you think you might strike it?,T
"user: I guess the best thing to do for now, is to not do anything and see what happens.  Don't you agree?",T
"user: Thank you! Was I the only one who found Lima's tone to be, to say the least, unpleasant?",T
