post,relationship-category
@username omg hemo is so sexy because i love [ hug ] â˜º for you :) ,social
@username thank you seaaa â˜º â¤,social
@username im dead serious i wana get hit up im naked,social
@username those were my cookies ! #likeineededthem,social
@username those were my cookies ! #likeineededthem,social
@username it is annoying sabrina,social
@username lol just did,social
@username you insisted that i take the shoes they were my birthday present if you want to use it against me idc .,social
@username you have a job - . - lol,social
@username saw your profile picture and i can't get over how perfect you are,social
tired of this third wheel stuff ! @username @username,social
wiii desy_cuenca @username @username :) #friends #girls #school #smile ,social
@username @username she told me that too #awks,social
@username & @username are throwing up pro ana gang signs whilst swerving on the freeway . someone please send help .,social
@username lol it really was,social
@username okay uhm i got to give some to my baby chris first lol .,social
@username ayeee ğŸ˜ lol love you ! ! ğŸ’“ ğŸ’“ ğŸ’“,social
@username @username what uu dirty bitch uu ain't fuckin shit,social
@username drove 13-14 hrs to get to school lol,social
@username my girl @username does piercings . don't know the prices tho,social
@account : My boy best friend looks better in my clothes than I do ğŸ˜’ ğŸ’,romance
@account my dad is leaving early afternoon and i dont have to work anymore on thursday soo we can chill for longer (;,romance
@account cuz what ? lol,romance
@account I guess you staying in dalevile,romance
@account @account Hiya Sarah ! ! ! Will send your love . Not seen you for yooooooonks ! ! Hope you're well . Love to your Mum too xxxx,romance
@account you're gorgeous & wildddd ( : <3,romance
S / O to this Clown @account . Call me at 6 am this Morning . Talking bout how is your Morning going ? ? . smh,romance
@account I will embrace the rainnnn ğŸ’¦ ğŸ˜†,romance
@account @account lol it was my plan to come to the game remember that ğŸ˜‰,romance
@account @account there I am at the bottom,romance
@account Shudd up,romance
@account You're one of those people who burns the roof of their mouth on food straight out of the oven aren't you ?,romance
@account You talking about me right lol ?,romance
@account be bout it then,romance
@account @account @account ğŸ˜‚ ğŸ˜ ğŸ˜œ http://t.co/LEJkiCF7xD,romance
@account @account fucking idoit,romance
@account My fingers busy right now since you not here bae ;),romance
@account : @account @account @account yal gne have to download group me app so we can add her ! ğŸ™Š ğŸ™Š ğŸ™Š ğŸ˜‚ ğŸ˜‚ ğŸ˜‚,romance
@account Ooooo so wat u doin later ? ? !,romance
@account yep .,romance
@account Wtf She texted me ! & I didn't text her back you know my ex is shady like that .,romance
@account babee ! My FB not working so cnt get in touch if u hit me up . Lol I text u this morning btw,romance
@account it looks pretty î” î” î”,romance
@account im not in twin gate,romance
